"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2020","11,757.9","11,649.1","11,791.8","11,649.1","0.04K","0.93%"
"08/23/2020","11,649.1","11,675.1","11,689.8","11,572.2","0.03K","-0.22%"
"08/22/2020","11,675.1","11,514.5","11,675.1","11,430.8","0.04K","1.39%"
"08/21/2020","11,514.5","11,859.2","11,859.2","11,514.5","0.04K","-2.91%"
"08/20/2020","11,859.2","11,742.0","11,866.2","11,727.1","0.03K","1.00%"
"08/19/2020","11,742.0","11,960.2","11,977.0","11,694.0","0.08K","-1.82%"
"08/18/2020","11,960.2","12,271.7","12,323.3","11,897.4","0.06K","-2.54%"
"08/17/2020","12,271.7","11,910.0","12,375.5","11,801.5","0.10K","3.04%"
"08/16/2020","11,910.0","11,866.3","11,910.0","11,776.5","0.06K","0.37%"
"08/15/2020","11,866.3","11,739.0","11,938.2","11,739.0","0.08K","1.08%"
"08/14/2020","11,739.0","11,754.0","11,791.9","11,673.0","0.06K","-0.13%"
"08/13/2020","11,754.0","11,562.4","11,754.0","11,397.6","0.07K","1.66%"
"08/12/2020","11,562.4","11,396.2","11,573.9","11,291.0","0.07K","1.46%"
"08/11/2020","11,396.2","11,874.2","11,912.4","11,205.7","0.09K","-4.03%"
"08/10/2020","11,874.2","11,681.5","11,977.0","11,681.5","0.12K","1.65%"
"08/09/2020","11,681.5","11,749.3","11,749.3","11,595.9","0.07K","-0.67%"
"08/08/2020","11,760.0","11,590.8","11,771.8","11,547.5","0.06K","1.46%"
"08/07/2020","11,590.8","11,750.5","11,870.4","11,477.9","0.08K","-1.36%"
"08/06/2020","11,750.5","11,734.0","11,861.3","11,628.4","0.11K","0.14%"
"08/05/2020","11,734.0","11,188.5","11,734.0","11,188.5","0.17K","4.88%"
"08/04/2020","11,188.5","11,217.2","11,353.0","11,140.0","0.09K","-0.26%"
"08/03/2020","11,217.2","11,072.0","11,375.0","11,072.0","0.13K","1.31%"
"08/02/2020","11,072.0","11,793.8","11,954.8","11,072.0","0.14K","-6.12%"
"08/01/2020","11,793.8","11,329.9","11,793.8","11,328.2","0.11K","4.09%"
"07/31/2020","11,329.9","11,095.2","11,345.1","11,015.0","0.10K","2.12%"
"07/30/2020","11,095.2","11,102.0","11,144.5","10,947.9","0.09K","-0.06%"
"07/29/2020","11,102.0","10,903.0","11,318.3","10,903.0","0.12K","1.83%"
"07/28/2020","10,903.0","11,018.6","11,188.3","10,868.5","0.11K","-1.05%"
"07/27/2020","11,018.6","9,930.9","11,196.7","9,930.9","0.22K","10.95%"
"07/26/2020","9,930.9","9,699.4","9,939.5","9,691.2","0.11K","2.39%"
"07/25/2020","9,699.4","9,534.7","9,699.4","9,534.7","0.07K","1.73%"
"07/24/2020","9,534.7","9,604.0","9,604.0","9,509.1","0.08K","-0.72%"
"07/23/2020","9,604.0","9,524.1","9,604.0","9,489.5","0.09K","0.84%"
"07/22/2020","9,524.1","9,379.2","9,524.1","9,312.7","0.10K","1.55%"
"07/21/2020","9,379.2","9,159.6","9,379.2","9,159.6","0.11K","2.40%"
"07/20/2020","9,159.6","9,213.2","9,215.3","9,154.9","0.06K","-0.58%"
"07/19/2020","9,213.2","9,166.0","9,213.2","9,120.0","0.05K","0.52%"
"07/18/2020","9,166.0","9,152.8","9,172.9","9,126.0","0.05K","0.14%"
"07/17/2020","9,152.8","9,137.0","9,162.0","9,119.8","0.06K","0.17%"
"07/16/2020","9,137.0","9,191.0","9,213.0","9,076.3","0.09K","-0.59%"
